run_id,controller_name,target_distance,desired_altitude,current_y,repetition,target_reached,timeout,collision,unsafe_altitude,invalid_ping_failure,runtime_seconds,final_forward_progress,final_forward_error,final_lateral_drift,mean_altitude_error,mean_abs_altitude_error,rmse_altitude_error,max_abs_altitude_error,final_altitude_error,min_altitude,max_altitude,time_inside_altitude_band_percent,time_below_safe_altitude_percent,vertical_command_mean_abs,vertical_command_max_abs,vertical_saturation_percent,notes,stop_reason,output_dir
target_5m_alt_1p5m_current_y_0_rep_01,dvl_p_altitude_hold,5.0,1.5,0.0,1,True,False,False,False,False,21.039321700000002,5.032625198364258,-0.03262519836425781,0.01057820487767458,0.14732319550423684,0.16485222438468208,0.17419477626410068,0.2263122797012329,0.1615086793899536,1.273687720298767,1.6367454528808594,69.30379746835443,0.0,0.0989380605625086,0.13578736782073975,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0_rep_01
target_5m_alt_1p5m_current_y_0_rep_02,dvl_p_altitude_hold,5.0,1.5,0.0,2,True,False,False,False,False,20.8724859,4.96945858001709,0.030541419982910156,0.00934755988419056,0.14676013194392934,0.16399799674701843,0.17332234623131063,0.21966612339019775,0.16072797775268555,1.2803338766098022,1.6367454528808594,68.10207336523126,0.0,0.09842491869728405,0.13179967403411866,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0_rep_02
target_5m_alt_1p5m_current_y_0_rep_03,dvl_p_altitude_hold,5.0,1.5,0.0,3,True,False,False,False,False,21.005939399999995,4.989921569824219,0.01007843017578125,0.018734250217676163,0.14610542416005806,0.16328678777214087,0.17244619181525347,0.22548186779022217,0.1638166904449463,1.2745181322097778,1.6367454528808594,71.94928684627575,0.0,0.09799735012508574,0.1352891206741333,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0_rep_03
target_5m_alt_1p5m_current_y_0p5_rep_01,dvl_p_altitude_hold,5.0,1.5,0.5,1,True,False,False,False,False,21.172857199999996,4.997429847717285,0.0025701522827148438,0.24215508764609694,0.15819627777585443,0.17514781850688863,0.18552668380599102,0.23696672916412354,0.1767808198928833,1.2630332708358765,1.6362433433532715,55.9748427672956,0.0,0.10512545123813659,0.1421800374984741,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0p5_rep_01
target_5m_alt_1p5m_current_y_0p5_rep_02,dvl_p_altitude_hold,5.0,1.5,0.5,2,True,False,False,False,False,21.1401391,4.964611053466797,0.035388946533203125,0.2738738930784166,0.15852881904662125,0.17473456164983314,0.18474916258645918,0.2366197109222412,0.17790508270263672,1.2633802890777588,1.6362433433532715,58.26771653543307,0.0,0.10487716401036981,0.14197182655334473,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0p5_rep_02
target_5m_alt_1p5m_current_y_0p5_rep_03,dvl_p_altitude_hold,5.0,1.5,0.5,3,True,False,False,False,False,21.239098000000013,5.038152694702148,-0.03815269470214844,0.23938819533213973,0.15867641166459803,0.17510000403771953,0.1853022236867527,0.23915600776672363,0.17730534076690674,1.2608439922332764,1.6362433433532715,57.210031347962385,0.0,0.10509660210302524,0.14349360466003416,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0p5_rep_03
target_5m_alt_1p5m_current_y_1_rep_01,dvl_p_altitude_hold,5.0,1.5,1.0,1,True,False,False,False,False,21.805768,5.035271644592285,-0.035271644592285156,0.9451590524986386,0.1873854529766636,0.20162106961694382,0.21350903039136515,0.26728618144989014,0.21947157382965088,1.2327138185501099,1.6347780227661133,29.312977099236644,0.0,0.12103396566635972,0.16037170886993407,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_1_rep_01
target_5m_alt_1p5m_current_y_1_rep_02,dvl_p_altitude_hold,5.0,1.5,1.0,2,True,False,False,False,False,21.6730441,4.997218132019043,0.0027818679809570312,0.9538092957809567,0.18777115517131376,0.202488616131784,0.21450022185385956,0.2683643102645874,0.21909749507904053,1.2316356897354126,1.6347780227661133,29.80030721966206,0.0,0.12155567176525409,0.16101858615875245,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_1_rep_02
target_5m_alt_1p5m_current_y_1_rep_03,dvl_p_altitude_hold,5.0,1.5,1.0,3,True,False,False,False,False,21.739273199999985,5.009105682373047,-0.009105682373046875,0.928338979370892,0.1865944566624453,0.20123946429394288,0.21333201024386117,0.26840031147003174,0.21805119514465332,1.2315996885299683,1.6347780227661133,30.01531393568147,0.0,0.12080483941212754,0.16104018688201904,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_1_rep_03
target_10m_alt_1p5m_current_y_0_rep_01,dvl_p_altitude_hold,10.0,1.5,0.0,1,True,False,False,False,False,41.5129733,9.915714263916016,0.08428573608398438,-0.03364986553788185,0.114774553867634,0.12421354809312529,0.1394480302456123,0.2186518907546997,-0.025517702102661133,1.2813481092453003,1.6367454528808594,85.87479935794543,0.0,0.07452208938368832,0.13119113445281982,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_0_rep_01
target_10m_alt_1p5m_current_y_0_rep_02,dvl_p_altitude_hold,10.0,1.5,0.0,2,True,False,False,False,False,41.679112299999986,9.967010498046875,0.032989501953125,0.043623410165309906,0.11494576483131122,0.12453292523451942,0.1401781013575298,0.2231302261352539,-0.033696889877319336,1.276869773864746,1.6367454528808594,84.4924060751399,0.0,0.07471389312744141,0.13387813568115234,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_0_rep_02
target_10m_alt_1p5m_current_y_0_rep_03,dvl_p_altitude_hold,10.0,1.5,0.0,3,True,False,False,False,False,41.57767799999999,10.012990951538086,-0.012990951538085938,0.04957810416817665,0.11540677322027011,0.12558496743440628,0.14121726670594517,0.22373807430267334,-0.04142582416534424,1.2762619256973267,1.6367454528808594,83.89423076923077,0.0,0.07534561053981949,0.134242844581604,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_0_rep_03
target_10m_alt_1p5m_current_y_0p5_rep_01,dvl_p_altitude_hold,10.0,1.5,0.5,1,True,False,False,False,False,42.0117755,9.955886840820312,0.0441131591796875,0.48045599227771163,0.12545390671723236,0.13523871108334184,0.15145841999870613,0.2359447479248047,-0.0397186279296875,1.2640552520751953,1.6362433433532715,78.1126090404441,0.0,0.08114274825368609,0.14156684875488282,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_0p5_rep_01
target_10m_alt_1p5m_current_y_0p5_rep_02,dvl_p_altitude_hold,10.0,1.5,0.5,2,True,False,False,False,False,42.04531930000002,9.998452186584473,0.0015478134155273438,0.467876014765352,0.1248083207195421,0.13465964699698327,0.15038291309135246,0.23498821258544922,-0.04241836071014404,1.2650117874145508,1.6362433433532715,79.31854199683043,0.0,0.08079503465511798,0.14099292755126952,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_0p5_rep_02
target_10m_alt_1p5m_current_y_0p5_rep_03,dvl_p_altitude_hold,10.0,1.5,0.5,3,True,False,False,False,False,42.04567070000002,10.048434257507324,-0.04843425750732422,0.4572280920110643,0.1245196294482272,0.1351344728998828,0.15133384756149135,0.23946011066436768,-0.04839885234832764,1.2605398893356323,1.6362433433532715,79.08082408874802,0.0,0.08108015612512236,0.1436760663986206,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_0p5_rep_03
target_10m_alt_1p5m_current_y_1_rep_01,dvl_p_altitude_hold,10.0,1.5,1.0,1,True,False,False,False,False,43.046593400000006,9.998673439025879,0.0013265609741210938,1.8747905241325498,0.14816340102868922,0.15761098505542742,0.17834595273564616,0.2696983814239502,-0.04227292537689209,1.2303016185760498,1.6347780227661133,58.04953560371517,0.0,0.09457720278954894,0.1618190288543701,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_1_rep_01
target_10m_alt_1p5m_current_y_1_rep_02,dvl_p_altitude_hold,10.0,1.5,1.0,2,True,False,False,False,False,42.989379299999996,9.969762802124023,0.030237197875976562,1.9105752455070615,0.14882728138635326,0.15784700554470682,0.17810835224147467,0.26452386379241943,-0.03776443004608154,1.2354761362075806,1.6347780227661133,57.906976744186046,0.0,0.09471894141035175,0.15871431827545165,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_1_rep_02
target_10m_alt_1p5m_current_y_1_rep_03,dvl_p_altitude_hold,10.0,1.5,1.0,3,True,False,False,False,False,43.07848260000003,9.989030838012695,0.010969161987304688,1.7850839840248227,0.14693039208535344,0.15612599182202663,0.17660048693308378,0.26368415355682373,-0.04165542125701904,1.2363158464431763,1.6347780227661133,58.39133797370456,0.0,0.0936855090107342,0.15821049213409424,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_1_rep_03
target_20m_alt_1p5m_current_y_0_rep_01,dvl_p_altitude_hold,20.0,1.5,0.0,1,True,False,False,False,False,82.78942660000007,19.949649650603533,0.05035034939646721,-0.04488096013665199,-0.006621537721099485,0.13719503339170067,0.1514048527402721,0.23625123500823975,0.12542188167572021,1.2831993103027344,1.7362512350082397,78.30112721417069,0.0,0.0823171286730818,0.14175074100494384,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_0_rep_01
target_20m_alt_1p5m_current_y_0_rep_02,dvl_p_altitude_hold,20.0,1.5,0.0,2,True,False,False,False,False,82.69100049999997,19.97981204651296,0.020187953487038612,0.00014648529759142548,-0.006758908070368615,0.13815523207740216,0.15286388553615032,0.2414780855178833,0.12570428848266602,1.2777303457260132,1.7414780855178833,76.46110439338976,0.0,0.08289348032205335,0.14488685131072998,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_0_rep_02
target_20m_alt_1p5m_current_y_0_rep_03,dvl_p_altitude_hold,20.0,1.5,0.0,3,True,False,False,False,False,82.72346689999995,19.890067353844643,0.10993264615535736,0.07175175845623016,-0.007225465476753057,0.1384649309873773,0.15312001861223218,0.2383519411087036,0.12091922760009766,1.2739019393920898,1.7383519411087036,76.47058823529412,0.0,0.08307937442751864,0.14301116466522215,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_0_rep_03
target_20m_alt_1p5m_current_y_0p5_rep_01,dvl_p_altitude_hold,20.0,1.5,0.5,1,True,False,False,False,False,83.93015629999991,19.837253496050835,0.16274650394916534,0.9682351029478014,-0.0071559835363317415,0.14850668870692477,0.16414974610397082,0.2655216455459595,0.13761568069458008,1.2565349340438843,1.7655216455459595,72.02093397745571,0.0,0.08910697657784482,0.15931298732757568,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_0p5_rep_01
target_20m_alt_1p5m_current_y_0p5_rep_02,dvl_p_altitude_hold,20.0,1.5,0.5,2,True,False,False,False,False,83.7263918000001,20.006976732518524,-0.0069767325185239315,0.9599696076475084,-0.00602099266211698,0.14801081393364887,0.16328847069154778,0.2644604444503784,0.15204930305480957,1.2645478248596191,1.7644604444503784,72.89012738853503,0.0,0.08880930018111655,0.15867626667022705,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_0p5_rep_02
target_20m_alt_1p5m_current_y_0p5_rep_03,dvl_p_altitude_hold,20.0,1.5,0.5,3,True,False,False,False,False,83.5197928,19.90711448341608,0.09288551658391953,0.990165141876787,-0.006629151103499409,0.14811956168078347,0.16329744882639616,0.2631775140762329,0.14445459842681885,1.2625311613082886,1.763177514076233,72.55293647622852,0.0,0.0888745850224575,0.15790650844573975,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_0p5_rep_03
target_20m_alt_1p5m_current_y_1_rep_01,dvl_p_altitude_hold,20.0,1.5,1.0,1,True,False,False,False,False,85.70732840000005,20.04593475535512,-0.045934755355119705,3.6875192867591977,0.026167190153744378,0.15314234684803568,0.167814561567177,0.26619064807891846,0.23815202713012695,1.2338093519210815,1.7139798402786255,70.05056398288603,0.0,0.09188969549965766,0.15971438884735106,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_1_rep_01
target_20m_alt_1p5m_current_y_1_rep_02,dvl_p_altitude_hold,20.0,1.5,1.0,2,True,False,False,False,False,85.50597270000003,19.82693862915039,0.17306137084960938,3.64264724124223,0.02359995242447881,0.15096479693816187,0.16627099221426178,0.26691269874572754,0.2155311107635498,1.2330873012542725,1.7126884460449219,71.11111111111111,0.0,0.09058266601956765,0.1601476192474365,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_1_rep_02
target_20m_alt_1p5m_current_y_1_rep_03,dvl_p_altitude_hold,20.0,1.5,1.0,3,True,False,False,False,False,85.5583696000001,19.981615552678704,0.018384447321295738,3.6523270355537534,0.02490158567736945,0.1532267638111003,0.1687505912410416,0.26793384552001953,0.22451138496398926,1.2320661544799805,1.7225143909454346,68.56252434748734,0.0,0.09194037209984295,0.1607603073120117,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_20m_alt_1p5m_current_y_1_rep_03
